date,PM2.5,Humidity,Precipitation,Temperature,Wind Speed
6/1/2018,39.81,80.62,7.1,71.52,3.44
6/2/2018,28.46,82.96,0.5,69.99,2.94
6/3/2018,39.83,79.08,0,72.24,2.79
6/4/2018,39.96,82.19,1,73.81,3.25
6/5/2018,22.08,78.58,42.5,74.15,3.9
6/6/2018,20.62,80.24,0,75.24,3.69
6/7/2018,18.58,85.6,69.9,74.49,3.42
6/8/2018,25.56,83.67,17.2,73.74,2.69
6/9/2018,28.12,79.84,0.2,76.29,3.27
6/10/2018,14.54,79.16,1.8,75.8,4.06
6/11/2018,18.96,78.34,0,76.16,5.81
6/12/2018,24.25,80.65,14.5,76.29,3.98
6/13/2018,36.92,74.28,0,76.44,5.21
6/14/2018,33.98,79.8,0,74.79,3.69
6/15/2018,56.83,88.54,7,71.34,3.85
6/16/2018,52.6,91.84,5.7,71.08,2.71
6/17/2018,54.79,88.8,10.8,71.82,3.17
6/18/2018,56.02,76.6,15.6,76.02,3.56
6/19/2018,51.44,67.95,0,77.15,4.65
6/20/2018,46.65,73.6,0,76.74,4.52
6/21/2018,37.29,78.15,2,75.84,3.73
6/22/2018,42.27,79.12,0,76.57,3.83
6/23/2018,42.88,86.75,5.8,75.01,3.17
6/24/2018,39.08,83.43,0.3,75.54,3.23
6/25/2018,32.27,82.95,8.8,75.05,4.35
6/26/2018,27.65,87.52,23.2,74.15,2.73
6/27/2018,18.29,81.11,2.5,76.18,3.58
6/28/2018,12.81,79.92,0,75.58,5.27
6/29/2018,17.6,83.6,0,74.08,3.58
6/30/2018,10.15,85.8,3.6,74.04,3.15
7/1/2018,18.04,92.35,4,72.01,2.19
7/2/2018,15.5,97.81,15,69.91,2.06
7/3/2018,14.98,88.9,33.2,73.02,3
7/4/2018,14.33,82.09,2,75.26,4.12
7/5/2018,24,85.43,0.3,74.26,2.89
7/6/2018,22.77,80.94,38,77.19,4.6
7/7/2018,18.54,81.36,0,77.45,3.65
7/8/2018,19.12,89.41,7.4,73.96,4.04
7/9/2018,17.5,89.96,18.3,74.08,2.62
7/10/2018,12.58,91,18,73.48,3.15
7/11/2018,12.15,93.35,20.2,72.91,3.27
7/12/2018,9.85,89.46,93.6,73.62,3.46
7/13/2018,11.21,84.15,5.2,75.58,4.11
