Humidity,PM2.5,Precipitation,Temperature,Wind Speed
77.54,35.58,0,71.53,4.85
80.38,35.54,0,69.5,3.79
77.71,38.08,0,69.42,4.29
77.06,45.38,0,68.04,3.19
78.29,40.92,0,67.51,3.44
79.32,41.58,0,66.54,3.35
75.33,37.79,2.3,65.86,3.88
74.1,39.12,9.1,65.11,3.81
76.35,42.19,0,66.54,3.62
79.3,43.44,0,67.32,3.81
75.21,38.46,0.5,68.53,4.4
78.23,27.94,0,66.35,4.95
75.33,18.5,0,66.42,4.46
74.19,26.06,0,65.71,4.06
77.14,36.1,0,65.11,3.75
76.09,42.58,0,65.9,4.31
77.68,47.5,0,64.96,3.85
78.05,48.25,0,64.7,3.44
73.86,39.04,0,64.55,3.56
76.91,40.75,0,64.62,3.46
77.34,39.21,0,64.21,3.23
66.97,40.71,0,62.64,4.69
67.18,41.33,0,60.8,3.33
70.06,43.71,0,60.12,3.85
72.43,48.33,0,60.31,3.27
66.52,45.08,0,60.54,3.65
63.45,44.56,0,60.8,3.58
65.89,40.08,0,61.51,3
70.29,50.5,0,62.04,3.44
69.01,47.42,0,62.98,3.17
65.73,58.33,0,63.2,3.54
69.99,48.67,0,62.52,3.52
69.05,44.92,0,61.25,4.06
69.9,42.96,0,60.42,3.38
68.08,58.08,0,59.71,4.44
64.77,59.98,0,58.48,3.96
68.8,53.38,0,57.76,3.29
71.95,55.67,0,57.61,3.75
74.94,59.83,0,58.48,3.35
77.76,51.98,0,58.59,3.02
75.47,43.12,0,57.76,3.04
74.81,42.65,0,57.5,3.1
74.79,48.65,0,58.62,2.96
77.61,58.77,0,58.21,3.12
73.5,65.15,0,58.06,3.42
69.28,67.88,0,57.54,4.23
70.3,64.27,0,56.3,3.33
75.57,62.98,0,55.32,3.48
78.55,65.83,0,55.4,3.77
81.73,88.69,0,54.69,2.9
82.42,103.27,0,55.1,2.98
80.38,110.83,0,57.01,3.15
76.92,95.81,0,56.75,3.1
73.03,78.04,0,56.71,3.42
78.71,73.56,0,55.55,3.1
75.2,79.65,0,57.05,2.81
75.76,65.38,0,57.05,3.1
78.53,65.58,0,56.49,2.67
76.03,76.81,0,57.5,2.56
78.01,70.29,0,58.02,3.23
79.79,63.42,0,55.96,3.23
83.93,7.35,0,70.06,4.19
83.81,14.12,0,70.14,3.62
84.16,19.83,0,70.4,3.75
82.82,17.67,0,70.85,3.94
83.86,16.02,0,71.34,3.52
80.57,19.31,0,70.66,3.52
78.51,23.12,0,71.3,3.42
83.63,23.23,0,68.86,5.08
81.88,12.54,0,67.85,3.9
80.15,15.46,0,67.7,4.21
79.41,29.56,0,67.06,3.94
76.99,24.31,0,67.48,3.6
77.36,27.73,0,67.66,3.42
77.7,34.58,0,68.15,3.81
78.46,33.83,0,68.04,3.58
77.95,30.5,0,68.49,3.85
79.75,28.52,0,68.49,4.12
80.4,30.79,0,68.19,3.19
76.73,34.79,0,68.56,4.02
83.42,38.04,0,66.12,2.75
81.11,43.15,0,65.6,3.31
76.76,41.38,0,64.74,4
82.02,48.56,0,62.38,2.56
77.94,43.83,0,62.94,3.81
84.09,55.94,0,62.34,2.38
79.72,42.58,0,62.75,3.9
74.35,38.79,0,63.91,3.83
80.42,41.25,0,62.82,2.97
76.3,40.06,0,63.46,3.46
79.03,31.44,0,63.69,3.4
75.58,31.17,0,63.72,3.73
79.37,42.27,0,63.28,3.58
81.22,47.27,0,63.99,3.27
78.89,47.08,0,64.44,3.21
80.26,36.88,0,63.99,3.38
77.65,41.58,0,63.12,3.73
79.86,59.9,0,62.64,3.21
78.84,56.81,0,64.44,3.33
82.36,59.38,0,63.24,2.48
80.69,53.27,0,63.05,3.04
79.79,38.71,0,62.86,3.75
80.42,37.23,0,61.78,3.69
82.32,48.83,0,62.49,3.06
80.6,49.85,0,62.75,2.96
75.97,50.73,0,63.28,2.96
76.86,46.58,0,63.24,3.48
82.85,42.06,0,62.11,3.46
81.47,38.46,0,63.72,3.85
79.15,49.73,0,62.38,3.15
79.11,69.65,0,61.74,5.04
77.62,77.15,0,61.48,3.12
78.7,73.83,0,60.88,3.06
79.41,70.77,0,59.3,3.15
80.16,73.52,0,59.38,2.72
84.57,75.73,0,59.75,2.52
80.62,66.77,0,60.39,2.81
79.51,76.6,0,59.75,2.94
78.53,76.42,0,58.25,3.19
70.74,63.31,0,57.39,3.29
68,70.62,0,57.05,2.65
70.39,56.67,0,55.44,3.62
86.56,30.04,0,73.59,3.69
84.73,29.56,15.5,73.21,4.06
82.21,29.69,0.6,73.77,3.56
84.79,25.73,0,72.61,3.69
84.11,24.48,0,72.58,3.15
82.46,25.19,0,72.84,3.46
74.68,23.9,0,71.41,3.88
69.1,20.67,0,70.48,3.9
71.41,21.54,0,70.55,3.25
76.19,23.98,0,71.82,3.33
79.39,22.5,0,72.35,3
80.07,22.29,0,73.02,3.04
80.04,25.48,0,72.39,3.62
81.77,32.38,0,72.09,3.17
78.24,32.19,0,71.71,3.52
72.2,27.4,0,72.16,2.96
72.45,24.71,0,72.01,2.94
77.29,26.56,0,71.38,3.36
80.22,31.04,0,70.96,3.6
78.36,35.48,0,69.8,4.33
78.91,40.88,0,68.3,3.44
80.55,37.73,0,68.75,3.17
76.43,31.67,0,67.06,3.5
73.58,29.4,0,66.46,3.42
74.3,26.85,0,67.21,3.31
78.7,24.9,0,67.55,3.65
76.86,24.42,0,65.43,3.24
72.26,23.6,0,64.92,2.71
69.77,25.46,0,65.3,2.62
66.54,29.58,0,66.91,2.9
67.07,27.04,0,67.66,3.23
72.17,27.71,0,66.73,4.42
78.97,31.23,0,66.42,3.65
77.42,32.35,0,66.42,3.5
74.24,37.31,0.2,64.59,4.04
74.04,63.67,0,62.45,3.48
74.23,63.75,0,60.46,3.56
77.6,65.04,0,59.6,2.92
69.17,54.33,0,60.16,2.81
69.36,49.5,0,60.28,2.92
69.51,43.98,0,60.5,2.77
67.43,41.94,0,60.99,2.88
68.58,39.33,0,60.88,2.6
69.33,37.1,0,60.24,3.35
73.13,36.98,0,60.12,2.88
69.89,39.56,0,60.28,2.71
84.29,60.79,0,53.98,2.62
67.68,39.5,0,56.11,32.77
68.19,29.54,0,56,3.17
71.18,32.27,0,55.62,3.44
72.98,37.88,0,55.78,3.23
77.52,41.77,0,55.55,3.31
76.48,47.56,0,53.64,3.33
78.73,54.9,0,54.01,3.12
76.82,62.98,0,54.12,3.12
72.36,66.31,0,55.18,2.5
72.28,65.4,0,56.34,2.73
76.7,98.5,0,53.19,2.1
64.54,79.04,0,54.97,3.07
65.92,78.94,0,55.59,2.73
72.86,75.15,0,55.74,2.94
84.43,18.65,0.01,72.54,3.5
86.32,12.52,0.01,71.08,4.47
85.34,16.25,4,71.41,4.29
85.62,19.46,0,72.12,3.29
84.84,18.33,40.6,72.39,3.6
84.65,18.62,0,72.42,3.69
82.92,25.52,0,72.58,3.71
82.26,21.81,0,72.99,3.88
81.94,28.67,0,73.21,4.15
82.5,28.56,0,73.1,3.35
80,31.31,0,73.96,3.6
77.87,29.73,0,74.04,3.29
74.63,25.19,0,74.04,3.19
74.24,21.71,0,73.94,3.48
76.42,18.1,0,74.45,3.12
78.71,13.98,0,74.45,3.94
85.81,9.71,8.5,71.56,2.54
93.81,10.5,3.9,69.69,2.35
94.44,2.77,3.6,67.51,4.69
90.37,4.75,6.6,68.53,3.65
81.11,9,0.01,68,4.02
83.8,18.42,0,67.44,3.21
83.6,35.02,0,67.85,4.81
80.75,46.38,0,66.01,3.96
83.02,40.92,0,65.23,3.38
75.54,32.02,0,65,3.35
76.5,29.79,0,64.89,3.27
79.04,33,0,64.7,3.19
71.78,40.79,0,63.12,4.19
72.33,31.65,0,62.86,3.46
73.58,33.52,0,63.65,3.81
75.98,38.98,0,62.52,4.12
75.84,43.98,0,62.19,3
74.99,40.02,0,61.44,3.17
76,38.46,0,60.31,3.38
78.34,37.6,0,59.26,2.92
78.3,32.75,0,59.64,3.08
75.48,29.04,0,59.9,3.02
75.1,28.85,0,60.61,2.96
73.66,28.19,0,60.54,3.25
71.71,27.08,0,59.82,2.92
74.61,29.69,0,59.34,3.23
78.35,33.94,0,58.62,2.92
75.74,36.77,0,57.76,2.96
75.02,33.06,0,58.18,3.27
77.02,34.65,0,58.59,3.02
77.02,43.44,0,57.72,3.02
72.36,38.17,0,58.16,2.71
74.58,58.58,0,59.19,2.31
79.03,60.48,0.01,57.09,2.52
77.85,58.44,0,58.32,2.92
76.95,42.98,0.01,61.02,3.33
73.1,38.38,0,59.68,3.35
80.55,64.38,0,58.25,3.02
78.15,81.6,0,57.76,3.27
81.94,76.92,0,56.86,3.15
83.14,71.35,0,55.55,2.96
80.7,75.46,0.01,55.36,2.83
77.94,70.31,0,56.15,2.78
75.56,63.88,0,55.48,3.15
77.43,58.21,0,55.62,2.85
79.51,23.75,0.005,72.99,3.34
75.43,20.56,0.005,73.4,3.42
79.32,16.21,44.2,73.25,5.36
92.32,10.85,10.8,68.94,2.1
89.87,7.38,26.4,68.08,3.73
98.73,6.92,42.05,64.92,2.31
91.78,11.08,14.4,67.74,2.52
81.12,10.06,15.3,69.99,3.71
81.73,10.75,3.1,71.34,3.58
81.79,11.6,0,69.65,3.71
84.1,15.62,1.105,67.83,2.42
80.48,12.02,0.005,69.76,3.77
77.31,11.77,1.3,69.39,4
77.64,10.4,0,68.49,3.6
78.18,14.4,0.55,69.2,3.35
65.29,18.33,0,67.29,4.25
60.68,25.69,0,65.86,3.58
72.76,22.23,0,64.7,3.42
72.19,35.04,0,64.1,3.46
71.07,30.62,0,64.25,3.23
71.89,34.12,0,64.72,3.47
62.75,29.27,0,64.49,3.89
59.62,27.9,0,65.82,3.23
65.57,30.08,0,65.75,3.69
61.51,21.58,0,64.85,4.15
71.53,22.33,0,64.32,3.35
77.95,36.15,0,63.69,3.56
76.81,37.69,0,63.76,3.21
73.33,38.38,0,63.84,3.08
70.44,32.25,0,63.91,3.08
73.13,31.25,0,63.58,2.77
73.02,28.5,0,63.28,3.15
70.01,26.21,0,62.19,2.98
67.22,25.1,0,62.04,2.96
72.14,41.04,0,62.6,2.81
71.58,39.5,0,63.12,3.15
76.07,38.02,0,62.38,3.51
77.95,32.12,0,62.22,3.6
74.56,37.98,0,62.11,2.94
70.69,38.1,0,62.94,3.04
71.37,34.97,0,61.96,3.42
74.16,39.35,0,60.54,3.31
71.2,41.06,0,58.92,3.81
74.71,39.12,0,58.1,2.96
75.6,52.9,0,58.55,3.02
76.6,54.1,0,58.89,3.33
76.29,52.6,0,59,2.83
76.76,46.81,0,57.99,3.1
77.23,57.56,0,58.51,3.12
73.02,55.52,0,59.3,2.9
73.93,44.9,0,58.89,2.88
72.85,39.92,0,57.95,3.42
71.04,41.79,0,57.44,3.04
76.33,47.5,0,57.35,2.92
73.23,41.69,0,57.84,3.27
69.76,54.31,0,59.19,2.96
71.8,48.19,0,59.04,3.48
72.96,41.29,0,58.4,3.33
76.91,42,0,57.5,3.2
75,45.25,0,57.54,3.24
75.05,52.4,0,57.24,2.85
85.03,27.02,9.2,72.84,3.02
93.47,16.23,19.6,69.73,2.48
93.27,16.83,7.4,69.99,2.9
