Humidity,PM2.5,Precipitation,Temperature,Wind Speed
74.62,91.73,0,62.68,4.58
69.36,89.75,0,60.99,4.75
65.84,48.9,2.6,61.96,3.94
59.07,79.06,0,64.06,5.17
51.47,64.88,0,63.46,5.85
50.08,52.69,0,61.21,4.69
62.58,79.15,0,61.59,5.27
70,88.92,0,61.02,4.64
64.78,78.44,0,62.04,4.67
63.24,81.54,0,61.89,4.19
79.59,104.31,0,58.25,3.62
73.92,85.31,14.3,59.17,3.34
73.4,89.08,0.2,62.38,4.12
71.11,91.52,0,64.36,4.79
65.35,92.48,0,63.09,4.39
56.28,36.92,5,62.64,7.85
48.84,65.69,0,61.81,5
53.72,99.6,0,61.59,4.47
56.43,126.38,0,63.61,3.77
57.32,133.83,0,64.94,4.86
57.82,132.96,0,65.86,4.58
54.34,114.25,0,65.94,5.31
50.22,97.92,0,65.6,4.29
51.23,112.38,0,65.82,4.6
54.44,135.88,0,65.52,4.46
66.71,145.67,0,61.29,4.62
57.01,120.54,0.6,66.46,4.85
64.72,139.77,0,65.68,6.69
55.89,62.08,3,66.78,4.72
48.48,47.52,2,62.49,6.79
57.62,40.52,0,63.88,4.5
56.28,81.04,11.5,66.76,4.29
68.89,78.19,0,66.61,4.9
73.09,59.73,51.2,65.94,3.9
86.87,47.65,3.2,60.88,3.58
74.03,45.29,17.7,63.76,4.08
73.74,53.94,0,66.54,4.69
76.68,46.81,6.2,64.4,3.42
72.01,59.98,0,66.05,3.21
74.84,63.48,2.8,66.35,3.85
72.61,58.79,0,64.85,3.12
73.88,59.65,0,64.81,4.92
53.22,46.5,0.2,70.86,6.98
40.75,49.19,0,70.35,7.37
49.86,58.81,0,67.21,4.79
54.11,77.23,0,69.05,4.96
66.67,84.96,0,70.16,4.96
75.21,63.33,9.5,66.76,4.38
71.95,56.06,3.2,68.9,4.83
74.21,52.71,0,68.79,3.99
62.99,57.29,1.5,70.18,5.29
52.12,55,0,71.11,6.15
44.3,60.02,0,70.94,4.69
47.51,103.71,0,69.65,5.65
50.06,112.88,0,69.27,4.85
59.11,90.62,0,69.09,4.35
76.19,93.69,0,64.77,4.77
77.6,59.85,2.2,65.56,3.44
85.53,57.29,33,64.51,3.21
83.2,44.06,6.3,65.38,3
82.36,35.85,0.3,63.86,4.62
78.06,35.81,0,67.92,4.02
76.52,42.15,13,69.12,4.52
86.97,31.83,1.3,63.54,2.94
76.18,39.6,1.6,67.1,5.02
75.54,35.31,0.5,69.09,3.58
77.14,42.79,0,69.61,4.12
67.85,53.96,0,72.2,5.55
53.31,54.83,0.6,73.66,7.03
54.21,32.75,2.3,72.01,5.77
59,43.1,0,68.6,4.52
67.91,49.67,0,70.44,4.4
72.8,47.6,0,72.01,4.52
81.15,45.35,0,69.69,4.31
87.94,27.52,21,62.9,3.1
75.8,33.65,0.6,67.25,3.1
77.2,39.15,0,70.06,4.67
82.68,26.5,10,67.78,3.38
78.7,42.79,0.3,70.59,3.25
81.76,43.96,0,70.4,2.94
77.7,41.96,10.6,72.73,3.46
75.82,44.35,0,74.19,4.54
78.12,38.75,7.5,75.16,4.27
78.92,33.15,0,75.39,5.6
78.05,25.25,16.3,73.96,4.44
68.9,40.1,0.2,76.59,4.98
69.59,55.6,0.5,76.36,4.35
65.23,61.06,0,75.27,4.9
68.12,40.75,0,69.24,4.21
72.45,43.94,2.6,71.04,4.42
86.98,37.6,42,68.82,2.73
83.14,47.33,23.8,69.95,2.83
80.98,41.42,0,50.08,3.71
66.78,50.62,0,55.62,4.9
69.37,59.92,0,56.9,5.02
69.91,58.79,0,55.96,5.1
66.92,66.19,0,57.95,4.08
58.27,68.16,0,59.41,3.85
60.38,66.25,0,60.42,4.38
49.38,68.52,0,61.66,5.5
46.28,70.79,0,64.62,4.96
46.56,69.33,0,64.7,4
47,57.67,0,63.05,4.85
52.88,65.69,0,62.6,4.46
59.86,71.88,0,62.6,4.35
67.42,73.5,0,58.1,4.44
73.52,75.17,4,57.95,4.83
69.54,57.96,11,59.11,4.25
56.55,55.29,0.6,62,5
49.48,62.02,0,63.69,4.12
55.33,81.04,0,63.59,4.51
63.24,131.4,0,64.02,5.69
73.34,142,0,62.3,4.75
82.66,43.83,5.8,55.66,3.48
72.68,37.46,16,60.42,3.83
68.48,56.88,0,65.19,4.29
72.71,76.17,0,65.97,3.96
81.4,99.25,0,64.51,3.33
72.72,68.77,0,63.72,5.81
56.57,37,3.5,65.86,5.02
57.3,32.33,0,65.11,4.29
68.08,63.15,0,66.65,5.12
82.61,74.21,0,64.81,4.33
85.24,97.27,3,65.23,3.21
92.95,60.6,9.7,59,3.6
81.53,26.23,6.8,61.49,4.52
74.42,43.08,2.4,66.46,4.1
78.41,48.65,5.5,63.61,3.48
73.58,41.62,1.1,67.36,4.38
75.93,39.46,0,68.08,4.28
75.51,48.54,0,69.69,3.88
75.7,52.92,0,70.81,4.57
84.2,51.9,0,67.77,3.9
83.16,45.94,4,68.86,3.98
76.16,49.71,9,69.18,5
75.48,26.04,6.5,65.52,4.15
62.51,38.12,0.2,67.51,4.56
73.22,42.88,0,62.3,4.12
67.45,46.77,31.4,65.3,4.06
76.46,66.75,0,64.44,4.08
81.54,71.19,0.5,64.42,3.38
76.38,64.65,5.6,67.21,3.48
73.36,73.04,0,70.92,3.25
80.2,65.04,3.4,68.49,4.12
86.6,60.1,1.6,68.82,2.58
72.99,80.08,8.6,73.25,3.69
71.76,69.46,0,75.16,3.94
70.69,76.29,0,74.23,4.81
67.56,76.94,0,74.52,4.58
55.94,67.06,2.5,74.34,5.69
60.92,50,0,75.93,5.6
81.95,57.77,6.2,66.5,3.33
72.27,40.23,0,69.95,5.71
58.85,46,0,71.82,5.46
55.72,68.1,0,71.98,4.23
59.73,90.94,0,73.29,4.25
59.58,99,0,74.08,4.44
61.81,113.38,0,74.82,4.56
57.27,118.06,0,77.15,4.23
50.01,91.81,0,75.69,5.83
66.31,51.71,0,68.86,4.06
