Date,Pm2.5,Precipitation,Days_since_last_precipitation,Humidity,Temperature,Wind Speed
1/24/2018,84.04,1.5,1,84.78,46.59,3.93
1/25/2018,79.1,4.6,2,76.75,48.72,3.02
1/26/2018,83.6,0,3,77.74,49.21,3.58
1/27/2018,80.79,0,4,73.6,48.01,3.71
1/28/2018,94.29,0,5,72.93,47.82,3.52
1/29/2018,106.67,0,6,75.77,48.72,3.54
1/30/2018,112.17,0,7,75.57,50.11,3.02
1/31/2018,116.75,0,8,78.78,50.45,3.15
2/1/2018,121.79,0,9,75.35,51.69,3.48
2/2/2018,123.92,0,10,77.34,52.66,3.58
2/3/2018,107.69,0,11,72.51,53.75,3.83
2/4/2018,101.88,0,12,60.39,53.11,4.83
2/5/2018,98.29,0,13,55.38,57.01,3.58
2/6/2018,108.08,0,14,58.26,58.4,3.67
2/7/2018,104.31,0,15,57.18,55.4,2.96
2/8/2018,80.29,0,16,41.9,55.74,4.4
2/9/2018,77.79,0,17,43.35,54.5,4.15
2/10/2018,72.27,0,18,48.7,53.98,4.67
2/11/2018,83.5,0,19,76.96,55.98,3.93
2/12/2018,139.54,1.5,20,66.02,53.86,2.81
2/13/2018,106.12,0,21,75.45,54.91,2.31
2/14/2018,114.65,0,22,67.67,55.06,4.42
2/15/2018,69.25,0,23,70.23,56.98,4.06
2/16/2018,82.29,0,24,75.4,57.69,3.71
2/17/2018,89.42,0,25,74.01,57.05,4.83
2/18/2018,91.27,0,26,70.05,56.19,4.67
2/19/2018,98.67,0,27,72.68,56.04,4.23
2/20/2018,103.44,0,28,71.6,56.49,3.54
2/21/2018,107.89,0,29,65.16,58.7,3.28
2/27/2018,47.8,0,30,72.91,62.69,4.7
2/28/2018,87.21,0,31,74.58,62.26,4.33
3/1/2018,91.73,0,32,74.62,62.68,4.58
3/2/2018,89.75,0,33,69.36,60.99,4.75
3/3/2018,48.9,2.6,34,65.84,61.96,3.94
3/4/2018,79.06,0,35,59.07,64.06,5.17
3/5/2018,64.88,0,36,51.47,63.46,5.85
3/6/2018,52.69,0,37,50.08,61.21,4.69
3/7/2018,79.15,0,38,62.58,61.59,5.27
3/8/2018,88.92,0,39,70,61.02,4.64
3/9/2018,78.44,0,40,64.78,62.04,4.67
3/10/2018,81.54,0,41,63.24,61.89,4.19
3/11/2018,104.31,0,42,79.59,58.25,3.62
3/12/2018,85.31,14.3,0,73.92,59.17,3.34
3/13/2018,89.08,0.2,1,73.4,62.38,4.12
3/14/2018,91.52,0,2,71.11,64.36,4.79
3/15/2018,92.48,0,3,65.35,63.09,4.39
3/16/2018,36.92,5,0,56.28,62.64,7.85
3/17/2018,65.69,0,1,48.84,61.81,5
3/18/2018,99.6,0,2,53.72,61.59,4.47
3/19/2018,126.38,0,3,56.43,63.61,3.77
3/20/2018,133.83,0,4,57.32,64.94,4.86
3/21/2018,132.96,0,5,57.82,65.86,4.58
3/22/2018,114.25,0,6,54.34,65.94,5.31
3/23/2018,97.92,0,7,50.22,65.6,4.29
3/24/2018,112.38,0,8,51.23,65.82,4.6
3/25/2018,135.88,0,9,54.44,65.52,4.46
3/26/2018,145.67,0,10,66.71,61.29,4.62
3/27/2018,120.54,0.6,11,57.01,66.46,4.85
3/28/2018,139.77,0,12,64.72,65.68,6.69
3/29/2018,62.08,3,13,55.89,66.78,4.72
3/30/2018,47.52,2,14,48.48,62.49,6.79
3/31/2018,40.52,0,15,57.62,63.88,4.5
4/1/2018,81.04,11.5,0,56.28,66.76,4.29
4/2/2018,78.19,0,1,68.89,66.61,4.9
4/3/2018,59.73,51.2,0,73.09,65.94,3.9
4/4/2018,47.65,3.2,1,86.87,60.88,3.58
4/5/2018,45.29,17.7,0,74.03,63.76,4.08
4/6/2018,53.94,0,1,73.74,66.54,4.69
4/7/2018,46.81,6.2,0,76.68,64.4,3.42
4/8/2018,59.98,0,1,72.01,66.05,3.21
4/9/2018,63.48,2.8,2,74.84,66.35,3.85
4/10/2018,58.79,0,3,72.61,64.85,3.12
4/11/2018,59.65,0,4,73.88,64.81,4.92
4/12/2018,46.5,0.2,5,53.22,70.86,6.98
4/13/2018,49.19,0,6,40.75,70.35,7.37
4/14/2018,58.81,0,7,49.86,67.21,4.79
4/15/2018,77.23,0,8,54.11,69.05,4.96
4/16/2018,84.96,0,9,66.67,70.16,4.96
4/17/2018,63.33,9.5,0,75.21,66.76,4.38
4/18/2018,56.06,3.2,1,71.95,68.9,4.83
4/19/2018,52.71,0,2,74.21,68.79,3.99
4/20/2018,57.29,1.5,3,62.99,70.18,5.29
4/21/2018,55,0,4,52.12,71.11,6.15
4/22/2018,60.02,0,5,44.3,70.94,4.69
4/23/2018,103.71,0,6,47.51,69.65,5.65
4/24/2018,112.88,0,7,50.06,69.27,4.85
4/25/2018,90.62,0,8,59.11,69.09,4.35
4/26/2018,93.69,0,9,76.19,64.77,4.77
4/27/2018,59.85,2.2,10,77.6,65.56,3.44
4/28/2018,57.29,33,0,85.53,64.51,3.21
4/29/2018,44.06,6.3,0,83.2,65.38,3
4/30/2018,35.85,0.3,1,82.36,63.86,4.62
5/1/2018,35.81,0,2,78.06,67.92,4.02
5/2/2018,42.15,13,0,76.52,69.12,4.52
5/3/2018,31.83,1.3,1,86.97,63.54,2.94
5/4/2018,39.6,1.6,2,76.18,67.1,5.02
5/5/2018,35.31,0.5,3,75.54,69.09,3.58
5/6/2018,42.79,0,4,77.14,69.61,4.12
5/7/2018,53.96,0,5,67.85,72.2,5.55
5/8/2018,54.83,0.6,6,53.31,73.66,7.03
5/9/2018,32.75,2.3,7,54.21,72.01,5.77
5/10/2018,43.1,0,8,59,68.6,4.52
5/11/2018,49.67,0,9,67.91,70.44,4.4
5/12/2018,47.6,0,10,72.8,72.01,4.52
5/13/2018,45.35,0,11,81.15,69.69,4.31
5/14/2018,27.52,21,0,87.94,62.9,3.1
5/15/2018,33.65,0.6,1,75.8,67.25,3.1
5/16/2018,39.15,0,2,77.2,70.06,4.67
5/17/2018,26.5,10,0,82.68,67.78,3.38
5/18/2018,42.79,0.3,1,78.7,70.59,3.25
5/19/2018,43.96,0,2,81.76,70.4,2.94
5/20/2018,41.96,10.6,0,77.7,72.73,3.46
5/21/2018,44.35,0,1,75.82,74.19,4.54
5/22/2018,38.75,7.5,0,78.12,75.16,4.27
5/23/2018,33.15,0,1,78.92,75.39,5.6
5/24/2018,25.25,16.3,0,78.05,73.96,4.44
5/25/2018,40.1,0.2,1,68.9,76.59,4.98
5/26/2018,55.6,0.5,2,69.59,76.36,4.35
5/27/2018,61.06,0,3,65.23,75.27,4.9
5/28/2018,40.75,0,4,68.12,69.24,4.21
5/29/2018,43.94,2.6,5,72.45,71.04,4.42
5/30/2018,37.6,42,0,86.98,68.82,2.73
5/31/2018,47.33,23.8,0,83.14,69.95,2.83
