PM2.5,Humidity,Precipitation,Temperature,Wind Speed
91.26,76.61,0,53.8,2.67
79.71,73.36,0,53.68,2.85
70.81,75.15,0,53.38,2.71
66.94,75.41,0,53.56,3.23
59.73,70.82,0,56.41,2.56
60.5,74.11,0.1,56.9,3.1
52.73,78.01,0,57.24,3.38
62.69,77.98,0,57.58,3.4
59.56,74.56,0,57.05,2.71
74.19,71.11,0,57.46,3
73.31,72.98,0,57.12,3.15
67.81,67.87,0,56.3,2.9
71.92,69.35,0,54.46,3.1
82.12,65.11,0,52.59,3.33
86.12,61.61,0,51.16,3.6
94.98,66.68,0,50.41,3.25
93.9,75.11,0,51.2,2.52
92.54,78.67,0,51.99,2.83
88.06,76.5,0,53.36,2.3
97.1,76.05,0,53.6,2.89
91,75.16,0,53.26,3
79.1,76.33,0,52.51,3.25
78.44,80.01,0,52.78,2.88
80.79,79,0,52.81,2.48
84.88,76.46,0,52.25,3.12
87.77,74.56,0,51.76,3.25
92.96,67.1,0,52.51,2.81
90.21,60.71,0,52.25,3
88.5,64.18,0,51.95,3.15
98.75,67.79,0,51.35,3.06
86.88,70.28,0,52.14,2.9
81.92,72.85,0,51.12,3.62
62.83,68.07,0,48.84,3.42
75.77,64.75,0,48.2,3.54
81.56,66.72,0,48.01,3.65
74.02,68.89,0,47.49,3.35
85.33,61.32,0,46.25,3.42
80.85,59.53,0,45.09,3.25
82.58,76.77,0,44.98,3.44
103.98,68.96,0,45.93,3.03
123.62,71.36,0,46.81,3.42
113.85,70.27,0,48.09,3.15
116.35,73.39,0,49.48,3.25
110.31,72.82,0,50.34,3.69
93.69,73.45,0,50.56,2.9
94.81,72.2,0,50,2.92
76.6,72.82,0,50.66,3.2
87.71,72.63,0,51.61,3.5
98.27,74.3,0,51.91,3.58
97.38,71.29,0,51.72,3.48
99.35,71.26,0,52.18,3.06
75.29,71.16,0,52.89,2.94
98.06,72.31,0,53.22,6.65
94.42,73.6,0,54.24,3.06
84.04,84.78,1.5,46.59,3.93
79.1,76.75,4.6,48.72,3.02
83.6,77.74,0,49.21,3.58
80.79,73.6,0,48.01,3.71
94.29,72.93,0,47.82,3.52
106.67,75.77,0,48.72,3.54
112.17,75.57,0,50.11,3.02
116.75,78.78,0,50.45,3.15
121.79,75.35,0,51.69,3.48
123.92,77.34,0,52.66,3.58
107.69,72.51,0,53.75,3.83
101.88,60.39,0,53.11,4.83
98.29,55.38,0,57.01,3.58
108.08,58.26,0,58.4,3.67
104.31,57.18,0,55.4,2.96
80.29,41.9,0,55.74,4.4
77.79,43.35,0,54.5,4.15
72.27,48.7,0,53.98,4.67
83.5,76.96,0,55.98,3.93
139.54,66.02,1.5,53.86,2.81
106.12,75.45,0,54.91,2.31
114.65,67.67,0,55.06,4.42
69.25,70.23,0,56.98,4.06
82.29,75.4,0,57.69,3.71
89.42,74.01,0,57.05,4.83
91.27,70.05,0,56.19,4.67
98.67,72.68,0,56.04,4.23
103.44,71.6,0,56.49,3.54
107.89,65.16,0,58.7,3.28
47.8,72.91,0,62.69,4.7
87.21,74.58,0,62.26,4.33
68.4,77.96,0,55.19,2.61
66.12,76.04,0,54.72,2.98
80.56,77.57,0,53.86,3.17
90.44,77.81,0,53.11,3.02
97.27,78.36,0,53.15,2.65
77.83,76.84,0,52.92,3.08
72.12,77.88,0,52.04,3.26
79.33,75.52,0,51.58,2.78
74.42,75.54,0,51.76,3
74.96,72.11,0,51.58,3.17
66.23,72.71,0,50.98,2.94
62.4,67.44,0,52.78,2.77
74.08,63.96,0,54.8,2.92
86.27,67.52,0,51.05,3.15
86.42,67.66,0,50.38,2.38
150.73,65.51,0,51.01,2.71
104.42,70.28,0,51.76,3.38
109.33,77.28,0,50.71,2.88
122.19,79.69,0,51.61,2.79
99.77,75.59,0,52.06,2.65
98.71,76.79,0,50.3,3.52
99.31,75.42,0,49.96,2.4
91.04,75.12,0,49.85,3.21
87.77,71.47,0,48.72,3.25
82.02,76.19,0,48.88,3.54
89.08,76.25,0,47.49,4.42
98.33,71.15,0,46.85,3.04
106.48,70.45,0,46.81,2.81
129.67,68.76,0,47.22,2.88
127,66.62,0,48.12,2.71
113.33,67.59,0,47.79,3.4
105.56,66.4,0,47.68,3.66
91.08,68.78,0,46.7,3.75
92.1,68.74,0,45.95,4.23
121.29,71.45,0,47.11,2.75
132.92,64.81,0,50.71,2.62
131.54,71.63,0.6,48.5,4
101.98,62.68,0,50.22,3.12
104.73,72.37,0,50.04,3.1
105.73,75.56,0,49.61,3.07
118.92,78.47,0,49.89,3.25
132.29,75.07,0,49.66,2.5
132.17,73.07,0,49.78,3.48
105.67,69.81,0,48.99,3.65
108.12,70.96,0,49.18,3.15
104.85,75.56,0,49.59,3.27
118.23,74.68,0,49.92,2.77
112.56,74.48,0,50.49,3.04
106.1,72.98,0,50.22,3.31
100.44,73.24,0,51.16,3.04
116.35,69.71,0,52.66,3.14
